iter	MultiClass
0	1.423555789
1	1.292693964
2	1.189427513
3	1.114838994
4	1.042146875
5	0.9860930521
6	0.9345474176
7	0.8953234709
8	0.8597780775
9	0.8261096172
10	0.8007465172
11	0.7748501848
12	0.7523303044
13	0.731125163
14	0.7155937211
15	0.6965432535
16	0.6805975384
17	0.6678856154
18	0.6561138054
19	0.6447155052
20	0.6329864269
21	0.621674936
22	0.6134461385
23	0.6027115727
24	0.5931784357
25	0.5853551692
26	0.5766823679
27	0.5701497448
28	0.5648901287
29	0.558649259
30	0.5555843516
31	0.5492407893
32	0.5445298573
33	0.5397171197
34	0.5367201995
35	0.5319753285
36	0.5277921111
37	0.5254346616
38	0.5215166276
39	0.5182981183
40	0.5151040162
41	0.5132960382
42	0.51084395
43	0.5090313208
44	0.5054549743
45	0.5024881064
46	0.4999035417
47	0.4972855972
48	0.494593186
49	0.491293656
50	0.4887256411
51	0.4869318348
52	0.4847835904
53	0.4828481073
54	0.4806798774
55	0.4790115795
56	0.4778498283
57	0.4754024093
58	0.4729663611
59	0.4714738635
60	0.4697078087
61	0.4676873398
62	0.4661962784
63	0.463917935
64	0.4616782309
65	0.4602307369
66	0.4583890964
67	0.4569577173
68	0.4559590936
69	0.454742727
70	0.4534047926
71	0.4519848102
72	0.4504726382
73	0.4494024713
74	0.4480275176
75	0.4462587516
76	0.4450481563
77	0.4438720698
78	0.4425758442
79	0.4412116264
80	0.4396671947
81	0.4383229696
82	0.4371853085
83	0.4358384593
84	0.4342200775
85	0.4326126442
86	0.4309145804
87	0.4300838307
88	0.4288547539
89	0.4277435401
90	0.4269091866
91	0.4257161046
92	0.4249210121
93	0.4236495497
94	0.422542976
95	0.4212044895
96	0.4196969066
97	0.4187067756
98	0.4178024073
99	0.4166070058
100	0.41533738
101	0.4147082785
102	0.4135653549
103	0.4127531636
104	0.4118194671
105	0.4112313184
106	0.4100630897
107	0.4091620483
108	0.4083758691
109	0.4069029909
110	0.4053495685
111	0.4046624006
