iter	Passed	Remaining
0	57	86659
1	63	47487
2	69	34433
3	74	27694
4	79	23638
5	88	21940
6	92	19736
7	97	18195
8	103	17069
9	107	16082
10	113	15341
11	118	14676
12	122	14058
13	127	13526
14	133	13247
15	138	12837
16	142	12452
17	147	12173
18	153	11939
19	158	11700
20	162	11459
21	167	11237
22	172	11071
23	177	10935
24	183	10819
25	188	10710
26	196	10729
27	202	10652
28	208	10553
29	214	10501
30	219	10405
31	225	10355
32	231	10283
33	235	10167
34	239	10039
35	245	9983
36	250	9905
37	255	9826
38	259	9729
39	264	9647
40	268	9556
41	273	9492
42	277	9418
43	282	9357
44	287	9298
45	292	9244
46	297	9197
47	302	9138
48	305	9051
49	310	8991
50	314	8938
51	319	8909
52	324	8873
53	330	8838
54	334	8789
55	338	8737
56	342	8668
57	347	8630
58	352	8602
59	356	8548
60	360	8497
61	365	8476
62	370	8444
63	375	8421
64	380	8403
65	385	8374
66	390	8349
67	395	8327
68	400	8305
69	405	8274
70	410	8257
71	416	8251
72	420	8223
73	425	8200
74	431	8201
75	436	8182
76	441	8160
77	447	8156
78	452	8139
79	456	8106
80	462	8095
81	467	8083
82	472	8059
83	476	8028
84	480	8000
85	485	7988
86	491	7990
87	496	7973
88	501	7958
89	506	7935
90	510	7905
91	515	7883
92	519	7862
93	523	7834
94	527	7806
95	531	7776
96	536	7760
97	541	7745
98	545	7721
99	550	7702
100	553	7669
101	559	7667
102	564	7654
103	567	7622
104	571	7594
105	575	7568
106	579	7543
107	583	7519
108	588	7515
109	593	7505
110	599	7500
111	604	7493
112	609	7476
113	614	7477
114	621	7479
115	625	7459
116	629	7445
117	635	7442
118	641	7440
119	646	7430
120	649	7403
121	655	7399
122	660	7389
123	665	7384
124	670	7374
125	675	7365
126	680	7356
127	684	7340
128	689	7328
129	694	7320
130	699	7308
131	704	7296
132	708	7287
133	713	7268
134	717	7255
135	722	7250
136	728	7243
137	732	7233
138	737	7220
139	743	7223
140	747	7208
141	752	7191
142	756	7176
143	761	7167
144	765	7155
145	770	7147
146	775	7139
147	782	7150
148	787	7139
149	790	7118
150	794	7096
151	798	7081
152	802	7067
153	807	7054
154	811	7041
155	815	7029
156	820	7017
157	824	7002
158	828	6990
159	834	6986
160	839	6980
161	843	6966
162	848	6958
163	853	6955
164	858	6946
165	863	6936
166	867	6924
167	871	6913
168	876	6899
169	881	6894
170	886	6890
171	891	6884
172	895	6870
